==22155== NVPROF is profiling process 22155, command: ./encryptApp
==22155== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22155== Profiling application: ./encryptApp
==22155== Profiling result:
==22155== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: confusionKernel(unsigned char const *, unsigned char*, int, int, int, unsigned long)
          5                             sm_efficiency                                               Multiprocessor Activity      45.36%      99.98%      89.05%
          5                        achieved_occupancy                                                    Achieved Occupancy    0.903555    0.935252    0.928299
          5                                       ipc                                                          Executed IPC    0.894351    0.901984    0.896658
          5                                issued_ipc                                                            Issued IPC    0.892578    0.897925    0.895452
          5                             inst_per_warp                                                 Instructions per warp  1.1036e+03  1.1036e+03  1.1036e+03
          5                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          5                 warp_execution_efficiency                                             Warp Execution Efficiency      93.92%      93.92%      93.92%
          5         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      86.48%      86.48%      86.48%
          5                      inst_replay_overhead                                           Instruction Replay Overhead    0.000085    0.000131    0.000101
          5                    issue_slot_utilization                                                Issue Slot Utilization      20.81%      20.94%      20.88%
          5      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          5      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          5              gst_transactions_per_request                                 Global Store Transactions Per Request   30.000000   30.000000   30.000000
          5                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          5                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          5                   local_load_transactions                                               Local Load Transactions           0           0           0
          5                  local_store_transactions                                              Local Store Transactions           0           0           0
          5                          gst_transactions                                             Global Store Transactions     2764800     2764800     2764800
          5                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          5                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          5                  gld_requested_throughput                                      Requested Global Load Throughput  380.71MB/s  384.43MB/s  383.09MB/s
          5                  gst_requested_throughput                                     Requested Global Store Throughput  380.71MB/s  384.43MB/s  383.09MB/s
          5                            gld_throughput                                                Global Load Throughput  6.8367GB/s  6.9036GB/s  6.8796GB/s
          5                            gst_throughput                                               Global Store Throughput  11.897GB/s  12.014GB/s  11.972GB/s
          5                      tex_cache_throughput                                              Unified Cache Throughput  1.5786GB/s  19.996GB/s  5.2913GB/s
          5                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          5                            gld_efficiency                                         Global Memory Load Efficiency       5.44%       5.44%       5.44%
          5                            gst_efficiency                                        Global Memory Store Efficiency       3.12%       3.12%       3.12%
          5                    tex_cache_transactions                                            Unified Cache Transactions      365760     4646945     1221997
          5                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           double_precision_fu_utilization                            Double-Precision Function Unit Utilization     Mid (5)     Mid (5)     Mid (5)
          5                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          5           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (2)     Low (2)     Low (2)
          5                             flop_count_dp                           Floating Point Operations(Double Precision)    11072640    11072640    11072640
          5                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)      921600      921600      921600
          5                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)     4612800     4612800     4612800
          5                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)      925440      925440      925440
          5                             flop_count_sp                           Floating Point Operations(Single Precision)    18890880    18890880    18890880
          5                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)     1382400     1382400     1382400
          5                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)     7831680     7831680     7831680
          5                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)     1845120     1845120     1845120
          5                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)     3092160     3092160     3092160
          5                             inst_executed                                                 Instructions Executed     5650240     5650240     5650240
          5                               inst_issued                                                   Instructions Issued     5650719     5651029     5650812
          5                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (2)     Low (1)
          5                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          5                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          5                                inst_fp_32                                               FP Instructions(Single)    16916160    16916160    16916160
          5                                inst_fp_64                                               FP Instructions(Double)     6461760     6461760     6461760
          5                              inst_integer                                                  Integer Instructions    93356157    93356157    93356157
          5                          inst_bit_convert                                              Bit-Convert Instructions    17587200    17587200    17587200
          5                              inst_control                                             Control-Flow Instructions     4133760     4133760     4133760
          5                        inst_compute_ld_st                                               Load/Store Instructions     5529600     5529600     5529600
          5                                 inst_misc                                                     Misc Instructions    12374400    12374400    12374400
          5           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          5                               issue_slots                                                           Issue Slots     5269846     5270087     5269922
          5                                 cf_issued                                      Issued Control-Flow Instructions      196160      196160      196160
          5                               cf_executed                                    Executed Control-Flow Instructions      196160      196160      196160
          5                               ldst_issued                                        Issued Load/Store Instructions      757120      757120      757120
          5                             ldst_executed                                      Executed Load/Store Instructions      209920      209920      209920
          5                       atomic_transactions                                                   Atomic Transactions           0           0           0
          5           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          5                inst_executed_global_loads                              Warp level instructions for global loads       92160       92160       92160
          5                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          5                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          5               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          5               inst_executed_global_stores                             Warp level instructions for global stores       92160       92160       92160
          5                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          5               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          5              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          5              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          5           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          5             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          5          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          5              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          5                     inst_executed_tex_ops                                   Warp level instructions for texture           0      157350       31470
          5                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    50841600    50841600    50841600
          5                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          5                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          5               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    88473600    88473600    88473600
          5                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          5              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          5                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          5                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          5             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          5                      global_load_requests              Total number of global load requests from Multiprocessor      365760      365760      365760
          5                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          5                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          5                     global_store_requests             Total number of global store requests from Multiprocessor      365760      365760      365760
          5                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          5                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          5                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          5                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          5                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          5                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          5                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
